Sample	Streptococcus_mutans	Porphyromonas_gingivalis	Pseudomonas	Prevotella_maculosa	Staphylococcus_aureus	Vibrio	Fusobacterium	Proteus	Stenotrophomonas	Haemophilus	Escherichia	Brucella	Weissella	Propionibacterium	Eikenella	Staphylococcus_epidermidis	Clostridium	Streptococcus_anginosus	Methylotenera	Corynebacterium_tuberculostearicum	Bifidobacterium	Campylobacter	Achromobacter	Neisseria	Lactobacillus_johnsonii	Enterobacter	Chryseobacterium	Peptoniphilus	Dolosigranulum	Klebsiella_oxytoca	Acinetobacter	Veillonella	Comamonas	Variovorax	Diaphorobacter	Finegoldia	Corynebacterium	Moraxella	Prevotella_bivia	Corynebacterium_glutamicum	Prevotella_buccalis	Klebsiella_pneumoniae	Streptococcus_pyogenes	Porphyromonas	Lactobacillus_sakei	Peptostreptococcus	Streptococcus_pneumoniae	Dialister	Streptococcus_constellatus	Staphylococcus	Mycoplasma
Throat_P01	20283	32	12	1	6	117	13217	16039	6	1	14	1	1	10	0	6	7	2	0	0	2	1888	2	2	3	6	0	0	0	8	0	2	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0
Tongue_P01	32300	12	84	2	6	39	1659	11874	3	2	9	0	11	10	0	4	1	1	0	0	2	1541	1	0	2	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0
Throat_P02	241	871	412	5461	467	2094	0	0	142	16	245	0	83	150	0	435	25	104	0	227	34	0	11	99	3	50	0	0	0	25	37	1	0	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0
Tongue_P02	350	876	4363	1	44	1844	0	0	132	8	186	0	702	156	1	180	12	44	0	11	26	0	1	36	1	51	0	35	1	49	10	15	0	0	0	0	0	18	3	0	0	0	0	1	0	1	0	0	0	0	0
Throat_P03	347	327	245	4894	53	897	19	27	71	19	92	2	41	755	0	223	92	142	6	100	88	0	0	41	7	29	0	316	0	17	11	40	0	0	0	22	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
Tongue_P03	321	795	4760	0	25	2401	1	0	119	72	97	50	799	736	0	246	1	66	0	114	35	31	19	70	16	36	0	165	0	26	70	0	0	0	0	66	0	0	25	0	1	0	0	0	0	0	0	0	0	0	0
Throat_P04	176	1407	334	4785	1	1548	0	0	182	33	149	34	760	394	2	133	18	118	22	261	154	27	19	239	41	33	0	0	0	43	18	0	26	0	0	0	0	47	1	0	4	26	0	0	0	0	0	0	1	0	0
Tongue_P04	234	5379	7419	2	99	3373	2	1	326	65	184	4	2439	1542	0	257	57	15	0	938	1536	0	37	212	944	42	0	37	510	66	50	80	0	0	0	0	11	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Throat_P05	25406	820	335	1357	15	2066	1	0	103	34	249	1	317	63	0	32	9	31	0	59	10	0	14	8	10	38	0	0	0	21	48	15	0	0	0	0	2	0	7	0	2	3	1	5	0	0	0	0	0	0	0
Tongue_P05	6940	18523	2194	0	33	1200	0	1	53	51	95	8	376	102	0	2114	20	7	0	126	17	0	0	9	2	20	0	23	0	7	6	9	12	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
Throat_P06	213	50926	1	2	6879	1513	1	0	84	5	185	16	852	178	0	473	28	85	0	425	116	0	0	81	0	26	0	21	0	7	18	4	0	0	0	10	0	19	23	41	0	0	0	0	13	0	0	0	0	0	0
Tongue_P06	1065	36736	2	1	4528	921	1	1	36	20	377	11	8	230	0	51	31	1	0	89	192	0	1	153	7	12	0	188	0	10	2	16	6	0	0	33	0	0	1	1	3	1	0	0	0	0	0	0	0	0	0
Throat_P07	40	372	245	6720	11815	510	7	2	37	20	109	0	31	74	1	0	17	10	0	35	25	0	1	1	0	3	0	7	0	2	13	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	4	0
Tongue_P07	78	1061	4523	2	808	451	0	0	112	186	89	0	0	250	0	161	98	0	0	67	0	23	21	0	1	0	0	66	1	1	1	0	27	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Throat_P08	75	919	7	0	75	1826	0	0	202	26	56	81	350	323	1	94	0	135	0	46	118	0	50	72	30	41	0	0	0	19	62	37	0	0	0	0	0	0	2	41	1	0	0	1	0	0	0	0	0	0	1
Tongue_P08	928	973	12	18	320	7648	26	0	1914	191	912	12636	6223	521	0	397	377	3201	3626	0	458	0	79	843	28	643	1411	0	0	231	325	57	300	346	332	0	205	35	27	0	0	0	0	1	0	1	0	0	0	0	0
Throat_P09	87695	497	97	1	4	54	8	0	6362	22	40	0	33	21	0	10	4	53	0	1	3	0	1347	0	3	1	0	0	0	0	0	6	1	0	4	0	0	0	3	0	1	0	0	1	0	1	0	0	0	0	0
Tongue_P09	88797	198	407	1	5	184	3	0	8352	10	28	0	110	18	0	15	1	9	0	1	71	2	756	5	5	2	0	0	0	3	6	1	0	0	0	0	0	0	5	0	1	4	0	0	0	0	0	0	0	0	0
Throat_P10	543	686	57	0	183	1187	6	0	941	1935	76	1965	40	62	0	59	46	201	282	0	201	13	47	6	13	128	111	0	0	135	21	18	0	123	35	0	0	0	3	5	1	0	0	0	0	1	0	0	0	0	0
